"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,2810183.680000,NaN,"us/op",,-1,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,400,2143257.886720,24851.130313,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,2074083.328000,NaN,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,2109734.912000,NaN,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,2160066.560000,NaN,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,2372508.057600,NaN,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,3002576.404480,NaN,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,3615490.048000,NaN,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,3615490.048000,NaN,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,3615490.048000,NaN,"us/op",,-1,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,400,2199131.258880,24222.472531,"us/op",,-1,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,2088763.392000,NaN,"us/op",,-1,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,2181038.080000,NaN,"us/op",,-1,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,2227175.424000,NaN,"us/op",,-1,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,2247937.228800,NaN,"us/op",,-1,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,3102400.839680,NaN,"us/op",,-1,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,3628072.960000,NaN,"us/op",,-1,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,3628072.960000,NaN,"us/op",,-1,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,3628072.960000,NaN,"us/op",,-1,true,64,true,
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","sample",1,3870525,102.700823,0.512391,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.00","sample",1,1,92.288000,NaN,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.50","sample",1,1,99.968000,NaN,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.90","sample",1,1,103.808000,NaN,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.95","sample",1,1,104.960000,NaN,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.99","sample",1,1,117.888000,NaN,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.999","sample",1,1,140.032000,NaN,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.9999","sample",1,1,211.941069,NaN,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p1.00","sample",1,1,43057.152000,NaN,"us/op",4,10,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","sample",1,3845104,103.360875,0.510362,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.00","sample",1,1,94.464000,NaN,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.50","sample",1,1,100.608000,NaN,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.90","sample",1,1,102.528000,NaN,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.95","sample",1,1,104.832000,NaN,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.99","sample",1,1,117.888000,NaN,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.999","sample",1,1,155.392000,NaN,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.9999","sample",1,1,225.024000,NaN,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p1.00","sample",1,1,43909.120000,NaN,"us/op",4,10,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","sample",1,3397483,117.071329,0.342939,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.00","sample",1,1,107.904000,NaN,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.50","sample",1,1,113.792000,NaN,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.90","sample",1,1,118.400000,NaN,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.95","sample",1,1,120.320000,NaN,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.99","sample",1,1,134.912000,NaN,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.999","sample",1,1,195.840000,NaN,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.9999","sample",1,1,15597.568000,NaN,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p1.00","sample",1,1,24051.712000,NaN,"us/op",4,10,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","sample",1,3374288,117.869466,0.344107,"us/op",4,10,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.00","sample",1,1,107.904000,NaN,"us/op",4,10,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.50","sample",1,1,115.072000,NaN,"us/op",4,10,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.90","sample",1,1,117.376000,NaN,"us/op",4,10,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback:mapCsvCallback·p0.95","sample",1,1,120.192000,NaN,"us/op",4,10,true,64,true,false
